MES_ANO;UF_PROCEDENCIA;CATEGORIA;QTD_MACHO;QTD_FEMEA
07/2015;MG;Suino Tipo Carne,;103950;54385
07/2015;SE;Ovino;4;5
07/2015;SP;Vaca;1484;0
07/2016;BA;Galo;1626;0
07/2016;SP;Galo;44523;0
07/2017;ES;Bufala;45;0
07/2017;MG;Leitoa;100;0
07/2017;PI;Frango;172447;0
07/2017;SC;Coelho;430;0
07/2017;SP;Galo;50692;0
07/2018;MG;Galinha;254656;0
07/2018;SP;Muar;3;1
07/2020;MS;Novilha Intermediaria;3956;0
07/2020;MT;Novilhao;14818;0
07/2020;RS;Suino;316115;319988
07/2022;MS;Galinha;9815;203029
08/2002;MT;Novilho Intermediario;58;0
08/2002;PR;Frango;11553315;0
08/2003;RS;Novilho Precoce;2488;0
08/2004;MG;Novilho Precoce;4520;0
08/2004;PR;Vitelo;136;0
08/2005;MG;Bufalo;2;0
08/2005;PA;Bufala;179;0
08/2005;SP;Suino Tipo Carne,;40905;19318
08/2006;MS;Bufalo;20;0
08/2006;MS;Novilha Intermediaria;284;0
08/2006;PR;Porco Nao Classificado;43;0
08/2006;RR;Suino;57;61
08/2006;RS;Bufalo;300;0
08/2006;SC;Javali;19;52
08/2007;MG;Galinha;248539;0
08/2007;PR;Vitelo;65;0
08/2007;SC;Porco Nao Classificado;51890;0
08/2008;GO;Novilho Precoce;6045;0
08/2008;PA;Bufalo;444;0
08/2008;RO;Novilhao;39250;0
08/2008;SE;Suino;119;51
08/2009;PA;Bufalo;230;0
08/2009;RO;Novilhao;44962;0
08/2009;SP;Bovino;134849;30035
08/2010;PR;Novilha Intermediaria;2226;0
08/2010;RO;Novilhao;48640;0
08/2011;PR;Bufalo;85;0
08/2011;SP;Vitelo;982;0
08/2012;MG;Nonato;107;0
08/2012;MG;Suino Tipo Banha,;1308;0
08/2012;PR;Touro/Touruno;601;0
08/2013;RR;Bovino;2870;1930
08/2013;RS;Galinha;655732;0
08/2014;MT;Touro/Touruno;1652;0
08/2014;RS;Bovino;28835;20012
08/2014;SC;Leitoa;775;0
08/2015;GO;Muar;54;27
08/2015;MG;Equino;0;1
08/2015;MG;Vaca;30;0
08/2016;ES;Bovino;13332;3406
08/2016;MG;Porco Nao Classificado;53449;0
08/2017;RJ;Bovino;1142;556
08/2018;MG;Novilhao;198;0
08/2018;MT;Galinha;643587;0
08/2018;PI;Frango;285222;0
08/2018;RO;Novilhona;43;0
08/2019;MT;Leitao;55;0
08/2019;RS;Touro/Touruno;66;0
08/2019;SP;Galinha De Postura;453802;0
08/2020;MT;Suino Tipo Carne,;102120;91129
08/2020;RO;Touro/Touruno;65591;0
08/2021;PR;Equino;58;31
08/2021;SC;Aves;6896704;10424365
08/2021;SC;Equino;36;19
08/2022;MA;Bovino;35203;297
09/2002;MT;Bufalo;8;0
09/2003;MG;Novilha Intermediaria;118;0
09/2003;SP;Equino;886;628
09/2004;PR;Suino;37653;37658
09/2004;RJ;Bovino;527;179
09/2004;RS;Bovino;27150;28953
09/2004;SC;Suino Tipo Carne,;198879;173409
09/2004;TO;Muar;11;7
09/2005;MG;Novilhao;1076;0
09/2005;MG;Suino Tipo Carne,;30696;30353
09/2005;MS;Leitao;166;0
09/2005;RJ;Bovino;1035;441
09/2005;RS;Javali;75;75
09/2005;RS;Touro/Touruno;177;0
09/2006;GO;Frango;15502123;0
09/2006;MS;Vaca;205;0
09/2006;PR;Leitoa;208;0
09/2006;RN;Bovino;517;66
09/2006;SP;Coelho;935;0
09/2007;BA;Ovino;1269;705
09/2007;GO;Muar;15;19
09/2007;MS;Bufala;6;0
09/2007;PA;Bufalo;414;0
09/2007;PA;Equino;6;9
09/2007;SC;Pato;41277;0
09/2007;SP;Bufala;22;0
09/2007;SP;Coelho;210;0
09/2008;MG;Novilho Precoce;12424;0
09/2008;MS;Suino Tipo Carne,;62184;18386
09/2008;MT;Bufala;3;0
09/2008;PR;Bufalo;24;0
09/2008;RJ;Muar;4;4
09/2008;SP;Frango;59764795;0
09/2009;GO;Frango;12559902;0
09/2009;RS;Vitelo;34;0
09/2009;SC;Coelho;237;0
09/2009;SC;Galo;8164;0
09/2010;MG;Ovino;40;64
09/2010;MG;Peru;524386;0
09/2010;MS;Porco Matrizeiro;30;0
09/2010;MT;Muar;11;13
09/2010;SP;Javali;28;0
09/2011;MG;Avestruz;15;0
09/2011;RJ;Galinha;26129;0
09/2012;DF;Frango;5746808;0
09/2012;PB;Galeto;25594;0
09/2012;RS;Galinha;795599;0
09/2012;RS;Novilha Intermediaria;292;0
09/2012;SP;Bufalo;82;0
09/2013;RS;Galo;2450;0
09/2014;SC;Frango;77208736;0
09/2015;DF;Frango;6370702;0
09/2015;MG;Galinha;338055;0
09/2015;MG;Vaca;2;0
09/2015;RS;Porca Matrizeira;4611;0
09/2015;SP;Faizão;211;0
09/2015;SP;Galinha De Postura;261338;0
09/2016;GO;Novilha Precoce;2364;0
09/2016;PA;Novilhona;2313;0
09/2016;PR;Novilha Intermediaria;1927;0
09/2017;SC;Cordeiro;75;0
09/2017;SE;Suino;55;54
09/2018;MG;Novilha Precoce;184;0
09/2018;SC;Equino;12;10
09/2019;MG;Bufalo;51;0
09/2019;RS;Novilho Precoce;718;0
09/2019;SE;Suino;90;95
09/2020;MG;Suino;63215;55201
09/2020;MS;Ovino;177;208
09/2020;MS;Touro/Touruno;133;0
09/2020;RO;Novilhao;30690;0
09/2020;RS;Ovino;534;687
09/2020;SP;Galo;18933;0
09/2022;GO;Ovino;15;10
09/2022;PR;Galinha;1766097;5327264
1/2021;AC;Porca Matrizeira;102;0
1/2021;GO;Bufala;60;0
1/2021;PA;Galo;1060;0
1/2021;RS;Novilha Intermediaria;559;0
10/2002;MA;Vaca;544;0
10/2003;BA;Bufalo;31;0
10/2003;BA;Equino;102;92
10/2003;MT;Novilhao;96965;0
10/2003;SP;Suino Tipo Carne,;32600;12975
10/2003;TO;Equino;26;24
10/2004;DF;Suino;120;115
10/2004;PR;Bufalo;153;0
10/2004;PR;Galo;1924;0
10/2004;PR;Suino;38030;38087
10/2004;PR;Vaca;697;0
10/2004;SP;Novilha Precoce;68;0
10/2005;MG;Novilhao;582;0
10/2005;RO;Vaca;23136;0
10/2006;BA;Galinha;16044;0
10/2006;GO;Faizão;27329;0
10/2006;PR;Equino;945;708
10/2006;TO;Equino;119;173
10/2007;PR;Javali;25;25
10/2007;RS;Galeto;163670;0
10/2008;GO;Asinino;0;2
10/2008;MG;Coelha;360;0
10/2008;PR;Novilhao;4025;0
10/2009;ES;Frango;1189633;0
10/2009;PA;Bovino;114127;50855
10/2009;PR;Novilho Intermediario;516;0
10/2009;RS;Suino Tipo Carne,;34070;35152
10/2009;SC;Leitao;695;0
10/2010;MT;Suino Tipo Carne,;57402;55544
10/2010;RS;Peru;404551;0
10/2010;SC;Porco Nao Classificado;46821;0
10/2011;GO;Vaca;3161;0
10/2011;MG;Coelha;136;0
10/2011;MT;Touro/Touruno;2026;0
10/2011;RO;Vaca;37271;0
10/2011;RS;Novilha Precoce;592;0
10/2011;RS;Novilho Intermediario;7182;0
10/2011;SC;Marreco;16766;0
10/2012;GO;Galinha De Postura;32130;0
10/2012;MG;Galinha De Postura;14802;0
10/2012;PA;Bufala;110;0
10/2012;PR;Suino Tipo Carne,;129941;125419
10/2012;SP;Novilho Precoce;621;0
10/2013;MG;Frango Especial;1444804;0
10/2013;MS;Suino;30042;29221
10/2013;MT;Novilhao;125191;0
10/2013;SC;Galinha De Postura;32577;0
10/2013;SP;Cateto;0;0
10/2014;GO;Novilhao;45912;0
10/2014;SC;Peru;904002;0
10/2014;TO;Novilha Precoce;23;0
10/2015;BA;Cabrito;328;0
10/2015;PA;Vaca;112;0
10/2015;RS;Porca Matrizeira;4590;0
10/2016;SC;Suino;257146;237340
10/2017;DF;Galinha;1993;0
10/2018;MT;Touro/Touruno;504;0
10/2018;PB;Frango;1456212;0
10/2018;RS;Cordeiro;103;0
10/2019;ES;Bufala;10;0
